,text,label,correct
0,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,0.9511421918869019
1,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,0.954647421836853
2,effective but too-tepid biopic,1,0.8652240633964539
3,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,0.974821150302887
4,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,0.9934101700782776
5,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,0.9553191661834717
6,offers that rare combination of entertainment and education .,1,0.9996373653411865
7,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,0.0
8,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,0.9525741338729858
9,take care of my cat offers a refreshingly different slice of asian cinema .,1,0.982557475566864
10,"this is a film well worth seeing , talking and singing heads and all .",1,0.9966756105422974
11,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,0.999373733997345
12,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,0.9511421918869019
13,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,0.9985449314117432
14,"ultimately , it ponders the reasons we need stories so much .",1,0.9915544390678406
15,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,0.8080672025680542
16,illuminating if overly talky documentary .,1,0.917302668094635
17,a masterpiece four years in the making .,1,0.9883127808570862
18,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,0.9915544390678406
19,offers a breath of the fresh air of true sophistication .,1,0.9877586960792542
20,"a thoughtful , provocative , insistently humanizing film .",1,0.9970190525054932
21,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,0.977022647857666
22,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,0.957277774810791
23,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,0.9992792010307312
24,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,0.9968273043632507
25,"occasionally melodramatic , it's also extremely effective .",1,0.9953181147575378
26,spiderman rocks,1,0.9928786158561707
27,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1,0.9991306662559509
28,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1,0.917302668094635
29,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,0.9196425676345825
30,"guaranteed to move anyone who ever shook , rattled , or rolled .",1,0.9353464841842651
31,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1,0.8840392827987671
32,"light , cute and forgettable .",1,0.9353464841842651
33,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,0.8499711751937866
34,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,0.9099069833755493
35,"though everything might be literate and smart , it never took off and always seemed static .",1,0.8397339582443237
36,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,0.957277774810791
37,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,0.7217432260513306
38,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,0.9943581223487854
39,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,0.6297746300697327
40,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1,0.7745833992958069
41,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,0.9362850189208984
42,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,0.9875683188438416
43,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,0.937210738658905
44,the film makes a strong case for the importance of the musicians in creating the motown sound .,1,0.9978843331336975
45,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,0.982557475566864
46,gosling provides an amazing performance that dwarfs everything else in the film .,1,0.9881309270858765
47,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1,0.997285008430481
48,tender yet lacerating and darkly funny fable .,1,0.929440438747406
49,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,0.9996079802513123
50,an engaging overview of johnson's eccentric career .,1,0.9820137619972229
51,"in its ragged , cheap and unassuming way , the movie works .",1,0.9910145401954651
52,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,1,0.9449946880340576
53,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1,0.9948603510856628
54,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1,0.9888418912887573
55,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",1,0.9985449314117432
56,"manages to be original , even though it rips off many of its ideas .",1,0.9817357659339905
57,"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .",1,0.9407896995544434
58,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,1,0.9820137619972229
59,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1,0.9711290597915649
60,"a pleasant enough movie , held together by skilled ensemble actors .",1,0.9886682629585266
61,this is the best american movie about troubled teens since 1998's whatever .,1,0.8615382313728333
